Unit 0 -> (tensor(0.6929, device='cuda:0', dtype=torch.float16), 1.2061767578125)
Unit 310 -> (tensor(0.7002, device='cuda:0', dtype=torch.float16), 0.857177734375)
Unit 311 -> (tensor(0.8398, device='cuda:0', dtype=torch.float16), 1.1693115234375)
Unit 312 -> (tensor(0.9258, device='cuda:0', dtype=torch.float16), 1.67333984375)
Unit 313 -> (tensor(0.5552, device='cuda:0', dtype=torch.float16), 1.62548828125)
Unit 314 -> (tensor(0.6816, device='cuda:0', dtype=torch.float16), 1.89404296875)
Unit 315 -> (tensor(0.5190, device='cuda:0', dtype=torch.float16), 0.89019775390625)
Unit 316 -> (tensor(0.5308, device='cuda:0', dtype=torch.float16), 0.6318359375)
Unit 317 -> (tensor(0.9238, device='cuda:0', dtype=torch.float16), 0.646484375)
Unit 318 -> (tensor(0.7524, device='cuda:0', dtype=torch.float16), 0.04833984375)
Unit 319 -> (tensor(0.8247, device='cuda:0', dtype=torch.float16), 1.02874755859375)
Unit 320 -> (tensor(0.5732, device='cuda:0', dtype=torch.float16), 1.7294921875)
Unit 321 -> (tensor(0.9233, device='cuda:0', dtype=torch.float16), 0.111328125)
Unit 322 -> (tensor(0.5488, device='cuda:0', dtype=torch.float16), 1.176025390625)
Unit 323 -> (tensor(0.3420, device='cuda:0', dtype=torch.float16), 1.955078125)
Unit 324 -> (tensor(0.5815, device='cuda:0', dtype=torch.float16), 0.09228515625)
Unit 325 -> (tensor(0.6353, device='cuda:0', dtype=torch.float16), 1.2003173828125)
Unit 326 -> (tensor(0.4204, device='cuda:0', dtype=torch.float16), 0.4287109375)
Unit 327 -> (tensor(0.4795, device='cuda:0', dtype=torch.float16), 0.29296875)
Unit 328 -> (tensor(0.9443, device='cuda:0', dtype=torch.float16), 1.87939453125)
Unit 329 -> (tensor(0.8711, device='cuda:0', dtype=torch.float16), 1.783203125)
Unit 330 -> (tensor(0.5825, device='cuda:0', dtype=torch.float16), 0.13232421875)
Unit 331 -> (tensor(0.8740, device='cuda:0', dtype=torch.float16), 1.681640625)
Unit 332 -> (tensor(0.4709, device='cuda:0', dtype=torch.float16), 0.47119140625)
Unit 333 -> (tensor(0.9741, device='cuda:0', dtype=torch.float16), 1.73583984375)
Unit 334 -> (tensor(0.8408, device='cuda:0', dtype=torch.float16), 0.826416015625)
Unit 335 -> (tensor(0.6562, device='cuda:0', dtype=torch.float16), 1.65478515625)
Unit 336 -> (tensor(0.7466, device='cuda:0', dtype=torch.float16), 1.382568359375)
Unit 337 -> (tensor(0.7690, device='cuda:0', dtype=torch.float16), 0.5703125)
Unit 338 -> (tensor(0.3831, device='cuda:0', dtype=torch.float16), 1.0572509765625)
Unit 339 -> (tensor(0.7881, device='cuda:0', dtype=torch.float16), 1.93359375)
Unit 340 -> (tensor(0.4570, device='cuda:0', dtype=torch.float16), 0.1748046875)
Unit 341 -> (tensor(0.7065, device='cuda:0', dtype=torch.float16), 1.94580078125)
Unit 342 -> (tensor(0.5190, device='cuda:0', dtype=torch.float16), 0.1103515625)
Unit 343 -> (tensor(0.9731, device='cuda:0', dtype=torch.float16), 0.28466796875)
Unit 344 -> (tensor(0.8682, device='cuda:0', dtype=torch.float16), 1.8125)
Unit 345 -> (tensor(0.5156, device='cuda:0', dtype=torch.float16), 1.7939453125)
Unit 346 -> (tensor(0.4685, device='cuda:0', dtype=torch.float16), 1.2451171875)
Unit 347 -> (tensor(0.6338, device='cuda:0', dtype=torch.float16), 1.306640625)
Unit 348 -> (tensor(0.8813, device='cuda:0', dtype=torch.float16), 1.278564453125)
Unit 349 -> (tensor(0.5273, device='cuda:0', dtype=torch.float16), 1.438232421875)
Unit 350 -> (tensor(0.9868, device='cuda:0', dtype=torch.float16), 1.15576171875)
Unit 351 -> (tensor(0.6265, device='cuda:0', dtype=torch.float16), 1.211181640625)
Unit 352 -> (tensor(0.9521, device='cuda:0', dtype=torch.float16), 1.28076171875)
Unit 353 -> (tensor(0.6255, device='cuda:0', dtype=torch.float16), 0.784912109375)
Unit 354 -> (tensor(0.7720, device='cuda:0', dtype=torch.float16), 0.966033935546875)
Unit 355 -> (tensor(0.8682, device='cuda:0', dtype=torch.float16), 0.220703125)
Unit 356 -> (tensor(0.9653, device='cuda:0', dtype=torch.float16), 0.08251953125)
Unit 357 -> (tensor(0.9556, device='cuda:0', dtype=torch.float16), 0.709228515625)
Unit 358 -> (tensor(0.8975, device='cuda:0', dtype=torch.float16), 1.86279296875)
Unit 359 -> (tensor(0.5059, device='cuda:0', dtype=torch.float16), 1.225830078125)
Unit 360 -> (tensor(0.5283, device='cuda:0', dtype=torch.float16), 0.09765625)
Unit 361 -> (tensor(0.7500, device='cuda:0', dtype=torch.float16), 0.23828125)
Unit 362 -> (tensor(0.8599, device='cuda:0', dtype=torch.float16), 1.53662109375)
Unit 363 -> (tensor(0.9185, device='cuda:0', dtype=torch.float16), 0.19677734375)
Unit 364 -> (tensor(0.5981, device='cuda:0', dtype=torch.float16), 1.89208984375)
Unit 365 -> (tensor(0.6670, device='cuda:0', dtype=torch.float16), 0.8895263671875)
Unit 366 -> (tensor(0.9902, device='cuda:0', dtype=torch.float16), 0.6298828125)
Unit 367 -> (tensor(0.7520, device='cuda:0', dtype=torch.float16), 1.837890625)
Unit 368 -> (tensor(0.8101, device='cuda:0', dtype=torch.float16), 1.11199951171875)
Unit 369 -> (tensor(0.6333, device='cuda:0', dtype=torch.float16), 1.79638671875)
Unit 370 -> (tensor(0.6841, device='cuda:0', dtype=torch.float16), 0.20361328125)
Unit 371 -> (tensor(0.6079, device='cuda:0', dtype=torch.float16), 0.078125)
Unit 372 -> (tensor(0.6104, device='cuda:0', dtype=torch.float16), 0.09375)
Unit 373 -> (tensor(0.9639, device='cuda:0', dtype=torch.float16), 0.22802734375)
Unit 374 -> (tensor(0.9111, device='cuda:0', dtype=torch.float16), 0.4404296875)
Unit 375 -> (tensor(0.9644, device='cuda:0', dtype=torch.float16), 0.08447265625)
Unit 376 -> (tensor(0.6187, device='cuda:0', dtype=torch.float16), 0.04833984375)
Unit 377 -> (tensor(0.4307, device='cuda:0', dtype=torch.float16), 0.037109375)
Unit 378 -> (tensor(0.8931, device='cuda:0', dtype=torch.float16), 0.60546875)
Unit 379 -> (tensor(0.6582, device='cuda:0', dtype=torch.float16), 1.94677734375)
Unit 380 -> (tensor(0.7373, device='cuda:0', dtype=torch.float16), 0.81982421875)
Unit 381 -> (tensor(0.5034, device='cuda:0', dtype=torch.float16), 0.969512939453125)
Unit 382 -> (tensor(0.9683, device='cuda:0', dtype=torch.float16), 1.3583984375)
Unit 383 -> (tensor(0.9556, device='cuda:0', dtype=torch.float16), 0.203125)
Unit 384 -> (tensor(0.4026, device='cuda:0', dtype=torch.float16), 1.5791015625)
Unit 385 -> (tensor(0.5854, device='cuda:0', dtype=torch.float16), 1.0592041015625)
Unit 386 -> (tensor(0.4937, device='cuda:0', dtype=torch.float16), 0.858154296875)
Unit 387 -> (tensor(0.6401, device='cuda:0', dtype=torch.float16), 1.52783203125)
Unit 388 -> (tensor(0.4377, device='cuda:0', dtype=torch.float16), 1.90234375)
Unit 389 -> (tensor(0.5405, device='cuda:0', dtype=torch.float16), 0.32861328125)
Unit 390 -> (tensor(0.9854, device='cuda:0', dtype=torch.float16), 1.529296875)
Unit 391 -> (tensor(0.5518, device='cuda:0', dtype=torch.float16), 1.179931640625)
Unit 392 -> (tensor(0.8140, device='cuda:0', dtype=torch.float16), 1.465576171875)
Unit 393 -> (tensor(0.9463, device='cuda:0', dtype=torch.float16), 0.4052734375)
Unit 394 -> (tensor(0.6411, device='cuda:0', dtype=torch.float16), 0.25)
Unit 395 -> (tensor(0.9102, device='cuda:0', dtype=torch.float16), 0.514892578125)
Unit 396 -> (tensor(0.8350, device='cuda:0', dtype=torch.float16), 1.88330078125)
Unit 397 -> (tensor(0.6108, device='cuda:0', dtype=torch.float16), 1.52490234375)
Unit 398 -> (tensor(0.7915, device='cuda:0', dtype=torch.float16), 0.42724609375)
Unit 399 -> (tensor(0.9204, device='cuda:0', dtype=torch.float16), 0.18115234375)
Unit 400 -> (tensor(0.9619, device='cuda:0', dtype=torch.float16), 1.357177734375)
Unit 401 -> (tensor(0.9487, device='cuda:0', dtype=torch.float16), 1.77587890625)
Unit 402 -> (tensor(0.8589, device='cuda:0', dtype=torch.float16), 1.20849609375)
Unit 403 -> (tensor(0.4187, device='cuda:0', dtype=torch.float16), 0.4091796875)
Unit 404 -> (tensor(0.4121, device='cuda:0', dtype=torch.float16), 0.27978515625)
Unit 405 -> (tensor(0.4529, device='cuda:0', dtype=torch.float16), 1.63037109375)
Unit 406 -> (tensor(0.8306, device='cuda:0', dtype=torch.float16), 1.258056640625)
Unit 407 -> (tensor(0.4333, device='cuda:0', dtype=torch.float16), 0.06103515625)
Unit 408 -> (tensor(0.9727, device='cuda:0', dtype=torch.float16), 0.4169921875)
Unit 409 -> (tensor(0.5562, device='cuda:0', dtype=torch.float16), 1.1539306640625)
Unit 410 -> (tensor(0.8838, device='cuda:0', dtype=torch.float16), 0.099609375)
Unit 411 -> (tensor(0.6821, device='cuda:0', dtype=torch.float16), 1.9111328125)
Unit 412 -> (tensor(0.7861, device='cuda:0', dtype=torch.float16), 1.390380859375)
Unit 413 -> (tensor(0.5635, device='cuda:0', dtype=torch.float16), 1.1895751953125)
Unit 414 -> (tensor(0.5132, device='cuda:0', dtype=torch.float16), 0.75634765625)
Unit 415 -> (tensor(0.6895, device='cuda:0', dtype=torch.float16), 1.90234375)
Unit 416 -> (tensor(0.8530, device='cuda:0', dtype=torch.float16), 0.09130859375)
Unit 417 -> (tensor(0.5327, device='cuda:0', dtype=torch.float16), 1.216796875)
Unit 418 -> (tensor(0.4258, device='cuda:0', dtype=torch.float16), 1.87353515625)
Unit 419 -> (tensor(0.9561, device='cuda:0', dtype=torch.float16), 0.09326171875)
Unit 420 -> (tensor(0.6299, device='cuda:0', dtype=torch.float16), 1.8876953125)
Unit 421 -> (tensor(0.5942, device='cuda:0', dtype=torch.float16), 1.8623046875)
Unit 422 -> (tensor(0.8076, device='cuda:0', dtype=torch.float16), 0.091796875)
Unit 423 -> (tensor(0.4885, device='cuda:0', dtype=torch.float16), 0.7451171875)
Unit 424 -> (tensor(0.8452, device='cuda:0', dtype=torch.float16), 1.8017578125)
Unit 425 -> (tensor(0.8452, device='cuda:0', dtype=torch.float16), 0.2109375)
Unit 426 -> (tensor(0.8306, device='cuda:0', dtype=torch.float16), 0.07763671875)
Unit 427 -> (tensor(0.7183, device='cuda:0', dtype=torch.float16), 1.430908203125)
Unit 428 -> (tensor(0.9673, device='cuda:0', dtype=torch.float16), 0.32177734375)
Unit 429 -> (tensor(0.6875, device='cuda:0', dtype=torch.float16), 1.26318359375)
Unit 430 -> (tensor(0.2426, device='cuda:0', dtype=torch.float16), 1.06732177734375)
Unit 431 -> (tensor(0.8345, device='cuda:0', dtype=torch.float16), 1.92919921875)
Unit 432 -> (tensor(0.6064, device='cuda:0', dtype=torch.float16), 1.10601806640625)
Unit 433 -> (tensor(0.9648, device='cuda:0', dtype=torch.float16), 1.1898193359375)
Unit 434 -> (tensor(0.8354, device='cuda:0', dtype=torch.float16), 1.93310546875)
Unit 435 -> (tensor(0.6660, device='cuda:0', dtype=torch.float16), 1.892578125)
Unit 436 -> (tensor(0.4719, device='cuda:0', dtype=torch.float16), 0.24658203125)
Unit 437 -> (tensor(0.4514, device='cuda:0', dtype=torch.float16), 0.14453125)
Unit 438 -> (tensor(0.6675, device='cuda:0', dtype=torch.float16), 0.0908203125)
Unit 439 -> (tensor(0.5981, device='cuda:0', dtype=torch.float16), 0.24951171875)
Unit 440 -> (tensor(0.6465, device='cuda:0', dtype=torch.float16), 0.959686279296875)
Unit 441 -> (tensor(0.7822, device='cuda:0', dtype=torch.float16), 1.90283203125)
Unit 442 -> (tensor(0.7783, device='cuda:0', dtype=torch.float16), 1.2958984375)
Unit 443 -> (tensor(0.8711, device='cuda:0', dtype=torch.float16), 0.322265625)
Unit 444 -> (tensor(0.8589, device='cuda:0', dtype=torch.float16), 0.27587890625)
Unit 445 -> (tensor(0.9302, device='cuda:0', dtype=torch.float16), 1.93896484375)
Unit 446 -> (tensor(0.8682, device='cuda:0', dtype=torch.float16), 0.1103515625)
Unit 447 -> (tensor(0.7559, device='cuda:0', dtype=torch.float16), 1.479248046875)
Unit 448 -> (tensor(0.8281, device='cuda:0', dtype=torch.float16), 1.1683349609375)
Unit 449 -> (tensor(0.9717, device='cuda:0', dtype=torch.float16), 1.21533203125)
Unit 450 -> (tensor(0.4023, device='cuda:0', dtype=torch.float16), 1.83642578125)
Unit 451 -> (tensor(0.8774, device='cuda:0', dtype=torch.float16), 1.796875)
Unit 452 -> (tensor(0.7305, device='cuda:0', dtype=torch.float16), 0.431640625)
Unit 453 -> (tensor(0.4854, device='cuda:0', dtype=torch.float16), 1.7158203125)
Unit 454 -> (tensor(0.7280, device='cuda:0', dtype=torch.float16), 1.88525390625)
Unit 455 -> (tensor(0.7769, device='cuda:0', dtype=torch.float16), 0.12548828125)
Unit 456 -> (tensor(0.8999, device='cuda:0', dtype=torch.float16), 0.08642578125)
Unit 457 -> (tensor(0.4155, device='cuda:0', dtype=torch.float16), 1.373291015625)
Unit 458 -> (tensor(0.7012, device='cuda:0', dtype=torch.float16), 0.9013671875)
Unit 459 -> (tensor(0.7095, device='cuda:0', dtype=torch.float16), 0.24951171875)
Unit 460 -> (tensor(0.4841, device='cuda:0', dtype=torch.float16), 1.3828125)
Unit 461 -> (tensor(0.9712, device='cuda:0', dtype=torch.float16), 1.22119140625)
Unit 462 -> (tensor(0.6216, device='cuda:0', dtype=torch.float16), 1.9287109375)
Unit 463 -> (tensor(0.6616, device='cuda:0', dtype=torch.float16), 0.10302734375)
Unit 464 -> (tensor(0.8418, device='cuda:0', dtype=torch.float16), 0.73779296875)
Unit 465 -> (tensor(0.4268, device='cuda:0', dtype=torch.float16), 0.076171875)
Unit 466 -> (tensor(0.7734, device='cuda:0', dtype=torch.float16), 0.08251953125)
Unit 467 -> (tensor(0.5947, device='cuda:0', dtype=torch.float16), 1.06378173828125)
Unit 468 -> (tensor(0.9741, device='cuda:0', dtype=torch.float16), 1.26416015625)
Unit 469 -> (tensor(0.8936, device='cuda:0', dtype=torch.float16), 1.5048828125)
Unit 470 -> (tensor(0.6108, device='cuda:0', dtype=torch.float16), 0.580078125)
Unit 471 -> (tensor(0.9062, device='cuda:0', dtype=torch.float16), 1.75048828125)
Unit 472 -> (tensor(0.6206, device='cuda:0', dtype=torch.float16), 1.94482421875)
Unit 473 -> (tensor(0.7622, device='cuda:0', dtype=torch.float16), 0.16357421875)
Unit 474 -> (tensor(0.6733, device='cuda:0', dtype=torch.float16), 0.4111328125)
Unit 475 -> (tensor(0.7622, device='cuda:0', dtype=torch.float16), 0.244140625)
Unit 476 -> (tensor(0.8608, device='cuda:0', dtype=torch.float16), 0.26904296875)
Unit 477 -> (tensor(0.8271, device='cuda:0', dtype=torch.float16), 1.8916015625)
Unit 478 -> (tensor(0.9546, device='cuda:0', dtype=torch.float16), 0.811767578125)
Unit 479 -> (tensor(0.3625, device='cuda:0', dtype=torch.float16), 0.554931640625)
Unit 480 -> (tensor(0.6406, device='cuda:0', dtype=torch.float16), 0.885009765625)
Unit 481 -> (tensor(0.6636, device='cuda:0', dtype=torch.float16), 1.2230224609375)
Unit 482 -> (tensor(0.6943, device='cuda:0', dtype=torch.float16), 1.498046875)
Unit 483 -> (tensor(0.6240, device='cuda:0', dtype=torch.float16), 1.9580078125)
Unit 484 -> (tensor(0.6968, device='cuda:0', dtype=torch.float16), 0.803955078125)
Unit 485 -> (tensor(0.6797, device='cuda:0', dtype=torch.float16), 1.767578125)
Unit 486 -> (tensor(0.8809, device='cuda:0', dtype=torch.float16), 1.63916015625)
Unit 487 -> (tensor(0.4468, device='cuda:0', dtype=torch.float16), 1.82958984375)
Unit 488 -> (tensor(0.9663, device='cuda:0', dtype=torch.float16), 1.6708984375)
Unit 489 -> (tensor(0.6538, device='cuda:0', dtype=torch.float16), 0.9926033020019531)
Unit 490 -> (tensor(0.4529, device='cuda:0', dtype=torch.float16), 0.0263671875)
Unit 491 -> (tensor(0.8276, device='cuda:0', dtype=torch.float16), 0.23486328125)
Unit 492 -> (tensor(0.7847, device='cuda:0', dtype=torch.float16), 1.7607421875)
Unit 493 -> (tensor(0.8853, device='cuda:0', dtype=torch.float16), 0.14697265625)
Unit 494 -> (tensor(0.6948, device='cuda:0', dtype=torch.float16), 0.359375)
Unit 495 -> (tensor(0.9551, device='cuda:0', dtype=torch.float16), 1.04010009765625)
Unit 496 -> (tensor(0.5908, device='cuda:0', dtype=torch.float16), 1.630859375)
Unit 497 -> (tensor(0.5347, device='cuda:0', dtype=torch.float16), 0.076171875)
Unit 498 -> (tensor(0.7402, device='cuda:0', dtype=torch.float16), 1.4580078125)
Unit 499 -> (tensor(0.6558, device='cuda:0', dtype=torch.float16), 0.5595703125)
Unit 500 -> (tensor(0.6401, device='cuda:0', dtype=torch.float16), 0.32470703125)
Unit 501 -> (tensor(0.5503, device='cuda:0', dtype=torch.float16), 0.16015625)
Unit 502 -> (tensor(0.9531, device='cuda:0', dtype=torch.float16), 0.658447265625)
Unit 503 -> (tensor(0.8018, device='cuda:0', dtype=torch.float16), 0.576904296875)
Unit 504 -> (tensor(0.8877, device='cuda:0', dtype=torch.float16), 1.78466796875)
Unit 505 -> (tensor(0.6943, device='cuda:0', dtype=torch.float16), 0.10107421875)
Unit 506 -> (tensor(0.9736, device='cuda:0', dtype=torch.float16), 0.255859375)
Unit 507 -> (tensor(0.9321, device='cuda:0', dtype=torch.float16), 0.07666015625)
Unit 508 -> (tensor(0.9844, device='cuda:0', dtype=torch.float16), 1.3271484375)
Unit 509 -> (tensor(0.5142, device='cuda:0', dtype=torch.float16), 1.56591796875)
Unit 510 -> (tensor(0.8564, device='cuda:0', dtype=torch.float16), 0.455078125)
Unit 511 -> (tensor(0.7085, device='cuda:0', dtype=torch.float16), 1.8447265625)
Unit 512 -> (tensor(0.7285, device='cuda:0', dtype=torch.float16), 1.68994140625)
Unit 513 -> (tensor(0.3738, device='cuda:0', dtype=torch.float16), 0.33447265625)
Unit 514 -> (tensor(0.9180, device='cuda:0', dtype=torch.float16), 1.294677734375)
Unit 515 -> (tensor(0.7603, device='cuda:0', dtype=torch.float16), 1.9580078125)
Unit 516 -> (tensor(0.8955, device='cuda:0', dtype=torch.float16), 0.19189453125)
Unit 517 -> (tensor(0.7148, device='cuda:0', dtype=torch.float16), 0.03955078125)
Unit 518 -> (tensor(0.5605, device='cuda:0', dtype=torch.float16), 0.503173828125)
Unit 519 -> (tensor(0.6396, device='cuda:0', dtype=torch.float16), 0.9405517578125)
Unit 520 -> (tensor(0.9629, device='cuda:0', dtype=torch.float16), 0.20458984375)
Unit 521 -> (tensor(0.5815, device='cuda:0', dtype=torch.float16), 1.85546875)
Unit 522 -> (tensor(0.6895, device='cuda:0', dtype=torch.float16), 1.6298828125)
Unit 523 -> (tensor(0.5312, device='cuda:0', dtype=torch.float16), 0.18505859375)
Unit 524 -> (tensor(0.9468, device='cuda:0', dtype=torch.float16), 1.6865234375)
Unit 525 -> (tensor(0.7378, device='cuda:0', dtype=torch.float16), 1.85791015625)
Unit 526 -> (tensor(0.7573, device='cuda:0', dtype=torch.float16), 0.4697265625)
Unit 527 -> (tensor(0.7915, device='cuda:0', dtype=torch.float16), 1.85888671875)
Unit 528 -> (tensor(0.7900, device='cuda:0', dtype=torch.float16), 0.16748046875)
Unit 529 -> (tensor(0.7495, device='cuda:0', dtype=torch.float16), 1.92724609375)
Unit 530 -> (tensor(0.8062, device='cuda:0', dtype=torch.float16), 1.9775390625)
Unit 531 -> (tensor(0.8975, device='cuda:0', dtype=torch.float16), 1.83251953125)
Unit 532 -> (tensor(0.6318, device='cuda:0', dtype=torch.float16), 1.873046875)
Unit 533 -> (tensor(0.8921, device='cuda:0', dtype=torch.float16), 0.0859375)
Unit 534 -> (tensor(0.7119, device='cuda:0', dtype=torch.float16), 0.07763671875)
Unit 535 -> (tensor(0.8179, device='cuda:0', dtype=torch.float16), 1.62255859375)
Unit 536 -> (tensor(0.4978, device='cuda:0', dtype=torch.float16), 0.232421875)
Unit 537 -> (tensor(0.8291, device='cuda:0', dtype=torch.float16), 1.77294921875)
Unit 538 -> (tensor(0.8599, device='cuda:0', dtype=torch.float16), 1.892578125)
Unit 539 -> (tensor(0.7690, device='cuda:0', dtype=torch.float16), 1.69873046875)
Unit 540 -> (tensor(0.4888, device='cuda:0', dtype=torch.float16), 0.22509765625)
Unit 541 -> (tensor(0.5049, device='cuda:0', dtype=torch.float16), 1.96435546875)
Unit 542 -> (tensor(0.9199, device='cuda:0', dtype=torch.float16), 0.4150390625)
Unit 543 -> (tensor(0.8496, device='cuda:0', dtype=torch.float16), 0.740234375)
Unit 544 -> (tensor(0.9556, device='cuda:0', dtype=torch.float16), 1.65771484375)
Unit 545 -> (tensor(0.7793, device='cuda:0', dtype=torch.float16), 0.2548828125)
Unit 546 -> (tensor(0.9380, device='cuda:0', dtype=torch.float16), 1.87353515625)
Unit 547 -> (tensor(0.4663, device='cuda:0', dtype=torch.float16), 1.91162109375)
Unit 548 -> (tensor(0.7695, device='cuda:0', dtype=torch.float16), 0.04345703125)
Unit 549 -> (tensor(0.8301, device='cuda:0', dtype=torch.float16), 1.888671875)
Unit 550 -> (tensor(0.2993, device='cuda:0', dtype=torch.float16), 1.76904296875)
Unit 551 -> (tensor(0.8999, device='cuda:0', dtype=torch.float16), 1.7841796875)
Unit 552 -> (tensor(0.7651, device='cuda:0', dtype=torch.float16), 1.0067901611328125)
Unit 553 -> (tensor(0.8457, device='cuda:0', dtype=torch.float16), 0.33642578125)
Unit 554 -> (tensor(0.9736, device='cuda:0', dtype=torch.float16), 1.0106430053710938)
Unit 555 -> (tensor(0.7129, device='cuda:0', dtype=torch.float16), 1.9765625)
Unit 556 -> (tensor(0.7822, device='cuda:0', dtype=torch.float16), 0.02099609375)
Unit 557 -> (tensor(0.6792, device='cuda:0', dtype=torch.float16), 1.84716796875)
Unit 558 -> (tensor(0.5122, device='cuda:0', dtype=torch.float16), 0.779052734375)
Unit 559 -> (tensor(0.8638, device='cuda:0', dtype=torch.float16), 0.690185546875)
Unit 560 -> (tensor(0.8179, device='cuda:0', dtype=torch.float16), 0.10546875)
Unit 561 -> (tensor(0.3572, device='cuda:0', dtype=torch.float16), 0.015625)
Unit 562 -> (tensor(0.6875, device='cuda:0', dtype=torch.float16), 1.06402587890625)
Unit 563 -> (tensor(0.7573, device='cuda:0', dtype=torch.float16), 1.92578125)
Unit 564 -> (tensor(0.6143, device='cuda:0', dtype=torch.float16), 1.9443359375)
Unit 565 -> (tensor(0.6294, device='cuda:0', dtype=torch.float16), 1.892578125)
Unit 566 -> (tensor(0.9834, device='cuda:0', dtype=torch.float16), 0.9329833984375)
Unit 567 -> (tensor(0.7148, device='cuda:0', dtype=torch.float16), 0.09814453125)
Unit 568 -> (tensor(0.5171, device='cuda:0', dtype=torch.float16), 1.908203125)
Unit 569 -> (tensor(0.7397, device='cuda:0', dtype=torch.float16), 0.4990234375)
Unit 570 -> (tensor(0.8120, device='cuda:0', dtype=torch.float16), 1.58251953125)
Unit 571 -> (tensor(0.8940, device='cuda:0', dtype=torch.float16), 1.8740234375)
Unit 572 -> (tensor(0.6841, device='cuda:0', dtype=torch.float16), 0.0576171875)
Unit 573 -> (tensor(0.6372, device='cuda:0', dtype=torch.float16), 1.6923828125)
Unit 574 -> (tensor(0.6626, device='cuda:0', dtype=torch.float16), 0.19482421875)
Unit 575 -> (tensor(0.4641, device='cuda:0', dtype=torch.float16), 1.52197265625)
Unit 576 -> (tensor(0.5518, device='cuda:0', dtype=torch.float16), 0.3876953125)
Unit 577 -> (tensor(0.3967, device='cuda:0', dtype=torch.float16), 0.12841796875)
Unit 578 -> (tensor(0.6182, device='cuda:0', dtype=torch.float16), 1.9794921875)
Unit 579 -> (tensor(0.7549, device='cuda:0', dtype=torch.float16), 0.08642578125)
Unit 580 -> (tensor(0.8027, device='cuda:0', dtype=torch.float16), 0.24755859375)
Unit 581 -> (tensor(0.6265, device='cuda:0', dtype=torch.float16), 0.2333984375)
Unit 582 -> (tensor(0.3965, device='cuda:0', dtype=torch.float16), 1.923828125)
Unit 583 -> (tensor(0.7397, device='cuda:0', dtype=torch.float16), 0.693603515625)
Unit 584 -> (tensor(0.6191, device='cuda:0', dtype=torch.float16), 0.992095947265625)
Unit 585 -> (tensor(0.9473, device='cuda:0', dtype=torch.float16), 0.33056640625)
Unit 586 -> (tensor(0.7344, device='cuda:0', dtype=torch.float16), 0.083984375)
Unit 587 -> (tensor(0.4573, device='cuda:0', dtype=torch.float16), 0.0654296875)
Unit 588 -> (tensor(0.4629, device='cuda:0', dtype=torch.float16), 1.6845703125)
Unit 589 -> (tensor(0.7456, device='cuda:0', dtype=torch.float16), 0.2080078125)
Unit 590 -> (tensor(0.8657, device='cuda:0', dtype=torch.float16), 0.834716796875)
Unit 591 -> (tensor(0.9346, device='cuda:0', dtype=torch.float16), 0.0546875)
Unit 592 -> (tensor(0.4260, device='cuda:0', dtype=torch.float16), 0.36572265625)
Unit 593 -> (tensor(0.6489, device='cuda:0', dtype=torch.float16), 0.9772186279296875)
Unit 594 -> (tensor(0.5210, device='cuda:0', dtype=torch.float16), 0.959197998046875)
Unit 595 -> (tensor(0.8472, device='cuda:0', dtype=torch.float16), 0.1796875)
Unit 596 -> (tensor(0.6650, device='cuda:0', dtype=torch.float16), 1.458740234375)
Unit 597 -> (tensor(0.8564, device='cuda:0', dtype=torch.float16), 0.1318359375)
Unit 598 -> (tensor(0.4165, device='cuda:0', dtype=torch.float16), 0.11181640625)
Unit 599 -> (tensor(0.7251, device='cuda:0', dtype=torch.float16), 1.28955078125)
Unit 600 -> (tensor(0.4285, device='cuda:0', dtype=torch.float16), 0.197265625)
Unit 601 -> (tensor(0.9487, device='cuda:0', dtype=torch.float16), 0.208984375)
Unit 602 -> (tensor(0.7666, device='cuda:0', dtype=torch.float16), 1.80126953125)
Unit 603 -> (tensor(0.4478, device='cuda:0', dtype=torch.float16), 1.6689453125)
Unit 604 -> (tensor(0.4084, device='cuda:0', dtype=torch.float16), 1.34912109375)
Unit 605 -> (tensor(0.8413, device='cuda:0', dtype=torch.float16), 0.130859375)
Unit 606 -> (tensor(0.8394, device='cuda:0', dtype=torch.float16), 0.737548828125)
Unit 607 -> (tensor(0.9409, device='cuda:0', dtype=torch.float16), 1.5009765625)
Unit 608 -> (tensor(0.4390, device='cuda:0', dtype=torch.float16), 0.09033203125)
Unit 609 -> (tensor(0.3894, device='cuda:0', dtype=torch.float16), 1.2392578125)
Unit 610 -> (tensor(0.5894, device='cuda:0', dtype=torch.float16), 1.14404296875)
Unit 611 -> (tensor(0.7373, device='cuda:0', dtype=torch.float16), 0.635009765625)
Unit 612 -> (tensor(0.6631, device='cuda:0', dtype=torch.float16), 1.34765625)
Unit 613 -> (tensor(0.6411, device='cuda:0', dtype=torch.float16), 0.8563232421875)
Unit 614 -> (tensor(0.5352, device='cuda:0', dtype=torch.float16), 1.7119140625)
Unit 615 -> (tensor(0.6294, device='cuda:0', dtype=torch.float16), 1.10516357421875)
Unit 616 -> (tensor(0.6313, device='cuda:0', dtype=torch.float16), 1.93212890625)
Unit 617 -> (tensor(0.4319, device='cuda:0', dtype=torch.float16), 0.404296875)
Unit 618 -> (tensor(0.9033, device='cuda:0', dtype=torch.float16), 0.16162109375)
Unit 619 -> (tensor(0.5361, device='cuda:0', dtype=torch.float16), 1.96142578125)
Unit 620 -> (tensor(0.8745, device='cuda:0', dtype=torch.float16), 1.900390625)
